imagem_origem,linha,nome,frequencia,dano,status
img1.jpeg,1,Krelian,21/21,6513876469,nome_corrigido
img1.jpeg,2,Hela,21/21,6507664927,
img1.jpeg,3,ley SHS,21/21,6418524181,revisar
img1.jpeg,4,Leon,21/21,5965959874,nome_corrigido
img1.jpeg,5,Sr_Mendes,21/21,5935806658,nome_corrigido
img1.jpeg,6,Gashak,21/21,5886574256,nome_corrigido
img1.jpeg,7,oa,21/21,5868302434,revisar
img2.jpeg,1,SkyLord,21/21,5620127150,nome_corrigido
img2.jpeg,2,Kanao,21/21,5542864960,
img2.jpeg,3,Dennis,19/21,5528603679,
img2.jpeg,4,co,21/21,5432498592,revisar
img2.jpeg,5,Waonero mm,18/21,5002233689,revisar
img2.jpeg,6,SirAudino,21/37,42257675,nome_corrigido;frequencia_suspeita
img2.jpeg,7,commer mmm,31/91,42274,revisar;frequencia_suspeita;dano_suspeito
img3.jpeg,1,Aurora,21/21,4772547570,
img3.jpeg,2,Capibara,18/21,4205867230,nome_corrigido
img3.jpeg,3,ay,21/21,3854104442,revisar
img3.jpeg,4,Ramigam,17/21,3503543200,nome_corrigido
img3.jpeg,5,,16/21,3168253423,revisar
img3.jpeg,6,Poorer,13/21,3126292007,revisar
img3.jpeg,7,Cosmos,15/21,3025436863,nome_corrigido
img4.jpeg,1,CAPETTINI,15/21,2983447047,nome_corrigido
img4.jpeg,2,math,11/21,2082005914,
img4.jpeg,3,kia,15/21,1548969572,nome_corrigido
img4.jpeg,4,pest,14/21,1510787224,revisar
img4.jpeg,5,eet,9/21,1432042582,revisar
img4.jpeg,6,Drymus,3/21,548573759,nome_corrigido
img4.jpeg,7,utage,3/21,531796294,revisar
